sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
84,it3_S013,ro_17500,1,standalone,17500,config_088/vfpga_c088_0.bin,6.214843750,0.998004461,1,True,0.001997532,0.001997532
85,it3_S014,ro_18000,1,standalone,18000,config_089/vfpga_c089_0.bin,12.381835938,0.999995806,1,True,0.000004194,0.000004194
86,it3_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,12.297851562,0.999995438,1,True,0.000004562,0.000004562
87,it3_S016,ro_8750,1,standalone,8750,config_091/vfpga_c091_0.bin,9.729492188,0.999940501,1,True,0.000059501,0.000059501
88,it3_S017,ro_9500,1,standalone,9500,config_092/vfpga_c092_0.bin,15.286132812,0.999999770,1,True,0.000000230,0.000000230
89,it3_S018,ro_10250,1,standalone,10250,config_093/vfpga_c093_0.bin,10.619140625,0.999975557,1,True,0.000024443,0.000024443
90,it3_S019,ro_11000,1,standalone,11000,config_094/vfpga_c094_0.bin,6.666992188,0.998729397,1,True,0.001271411,0.001271411
91,it3_S020,ro_11750,1,standalone,11750,config_095/vfpga_c095_0.bin,14.918945312,0.999999668,1,True,0.000000332,0.000000332
92,it3_S021,ro_12500,1,standalone,12500,config_096/vfpga_c096_0.bin,14.605468750,0.999999546,1,True,0.000000454,0.000000454
93,it3_S022,ro_13250,1,standalone,13250,config_097/vfpga_c097_0.bin,11.859375000,0.999992928,1,True,0.000007072,0.000007072
94,it3_S023,ro_14000,1,standalone,14000,config_098/vfpga_c098_0.bin,1.896484375,0.869493109,1,True,0.139844871,0.139844871
95,it3_S024,ro_14750,1,standalone,14750,config_099/vfpga_c099_0.bin,11.747070312,0.999992088,1,True,0.000007912,0.000007912
96,it3_S025,ro_15500,1,standalone,15500,config_100/vfpga_c100_0.bin,3.328125000,0.965381161,1,True,0.035232270,0.035232270
97,it3_S026,ro_16250,1,standalone,16250,config_101/vfpga_c101_0.bin,7.060546875,0.999142427,1,True,0.000857940,0.000857940
98,it3_S027,ro_17000,1,standalone,17000,config_102/vfpga_c102_0.bin,3.848632812,0.979135744,1,True,0.021084991,0.021084991
99,it3_S028,ro_17500,1,standalone,17500,config_103/vfpga_c103_0.bin,6.660156250,0.998720693,1,True,0.001280126,0.001280126
100,it3_S029,ro_18000,1,standalone,18000,config_104/vfpga_c104_0.bin,6.081054688,0.997719448,1,True,0.002283156,0.002283156
101,it3_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,7.026367188,0.999112636,1,True,0.000887758,0.000887758
102,it3_S031,ro_8750,1,standalone,8750,config_106/vfpga_c106_0.bin,8.660156250,0.999826673,1,True,0.000173342,0.000173342
103,it3_S032,ro_9500,1,standalone,9500,config_107/vfpga_c107_0.bin,10.455078125,0.999971199,1,True,0.000028801,0.000028801
104,it3_S033,ro_10250,1,standalone,10250,config_108/vfpga_c108_0.bin,7.467773438,0.999429127,1,True,0.000571036,0.000571036
105,it3_S034,ro_11000,1,standalone,11000,config_109/vfpga_c109_0.bin,11.101562500,0.999984911,1,True,0.000015089,0.000015089
106,it3_S035,ro_11750,1,standalone,11750,config_110/vfpga_c110_0.bin,5.817382812,0.997033445,1,True,0.002970964,0.002970964
107,it3_S036,ro_12500,1,standalone,12500,config_111/vfpga_c111_0.bin,6.791992188,0.998878529,1,True,0.001122100,0.001122100
108,it3_S037,ro_13250,1,standalone,13250,config_112/vfpga_c112_0.bin,10.986328125,0.999983069,1,True,0.000016931,0.000016931
109,it3_S038,ro_14000,1,standalone,14000,config_113/vfpga_c113_0.bin,7.975585938,0.999656365,1,True,0.000343694,0.000343694
110,it3_S039,ro_14750,1,standalone,14750,config_114/vfpga_c114_0.bin,5.856445312,0.997146767,1,True,0.002857311,0.002857311
111,it3_S040,ro_15500,1,standalone,15500,config_115/vfpga_c115_0.bin,3.362304688,0.966505466,1,True,0.034068325,0.034068325
112,it3_S041,ro_16250,1,standalone,16250,config_116/vfpga_c116_0.bin,5.549804688,0.996126843,1,True,0.003880677,0.003880677
113,it3_S042,ro_17000,1,standalone,17000,config_117/vfpga_c117_0.bin,7.166992188,0.999228955,1,True,0.000771343,0.000771343
114,it3_S043,ro_17500,1,standalone,17500,config_118/vfpga_c118_0.bin,7.096679688,0.999172836,1,True,0.000827507,0.000827507
115,it3_S044,ro_18000,1,standalone,18000,config_119/vfpga_c119_0.bin,8.575195312,0.999811306,1,True,0.000188712,0.000188712
116,it3_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,4.204101562,0.985285551,1,True,0.014823780,0.014823780
117,it3_S046,ro_8750,1,standalone,8750,config_121/vfpga_c121_0.bin,3.188476562,0.960398320,1,True,0.040407164,0.040407164
118,it3_S047,ro_9500,1,standalone,9500,config_122/vfpga_c122_0.bin,5.253906250,0.994800120,1,True,0.005213447,0.005213447
119,it3_S048,ro_10250,1,standalone,10250,config_123/vfpga_c123_0.bin,4.528320312,0.989316569,1,True,0.010740909,0.010740909
120,it3_S049,ro_11000,1,standalone,11000,config_124/vfpga_c124_0.bin,6.618164062,0.998665901,1,True,0.001334990,0.001334990
121,it3_S050,ro_11750,1,standalone,11750,config_125/vfpga_c125_0.bin,9.798828125,0.999944486,1,True,0.000055515,0.000055515
122,it3_S051,ro_12500,1,standalone,12500,config_126/vfpga_c126_0.bin,9.943359375,0.999951957,1,True,0.000048044,0.000048044
123,it3_S052,ro_13250,1,standalone,13250,config_127/vfpga_c127_0.bin,12.488281250,0.999996229,1,True,0.000003771,0.000003771
124,it3_S053,ro_14000,1,standalone,14000,config_128/vfpga_c128_0.bin,12.502929688,0.999996284,1,True,0.000003716,0.000003716
125,it3_S054,ro_14750,1,standalone,14750,config_129/vfpga_c129_0.bin,11.786132812,0.999992391,1,True,0.000007609,0.000007609
126,it3_S055,ro_15500,1,standalone,15500,config_130/vfpga_c130_0.bin,7.396484375,0.999386971,1,True,0.000613217,0.000613217
127,it3_S056,ro_16250,1,standalone,16250,config_131/vfpga_c131_0.bin,11.673828125,0.999991486,1,True,0.000008514,0.000008514
128,it3_S057,ro_17000,1,standalone,17000,config_132/vfpga_c132_0.bin,7.063476562,0.999144934,1,True,0.000855432,0.000855432
129,it3_S058,ro_17500,1,standalone,17500,config_133/vfpga_c133_0.bin,8.529296875,0.999802445,1,True,0.000197574,0.000197574
130,it3_S059,ro_18000,1,standalone,18000,config_134/vfpga_c134_0.bin,7.403320312,0.999391144,1,True,0.000609041,0.000609041
131,it3_S060,ro_8000,1,standalone,8000,config_135/vfpga_c135_0.bin,0.290039062,0.572005696,1,True,0.558606330,0.558606330
132,it3_S061,ro_8750,1,standalone,8750,config_136/vfpga_c136_0.bin,6.281250000,0.998132434,1,True,0.001869312,0.001869312
133,it3_S062,ro_9500,1,standalone,9500,config_137/vfpga_c137_0.bin,6.847656250,0.998939185,1,True,0.001061378,0.001061378
134,it3_S063,ro_10250,1,standalone,10250,config_138/vfpga_c138_0.bin,16.648437500,0.999999941,1,True,0.000000100,0.000000100
135,it3_S064,ro_11000,1,standalone,11000,config_139/vfpga_c139_0.bin,10.414062500,0.999969993,1,True,0.000030007,0.000030007
136,it3_S065,ro_11750,1,standalone,11750,config_140/vfpga_c140_0.bin,7.781250000,0.999582684,1,True,0.000417403,0.000417403
137,it3_S066,ro_12500,1,standalone,12500,config_141/vfpga_c141_0.bin,0.410156250,0.601125344,1,True,0.508951807,0.508951807
138,it3_S067,ro_13250,1,standalone,13250,config_142/vfpga_c142_0.bin,19.191406250,0.999999995,1,True,0.000000100,0.000000100
139,it3_S068,ro_14000,1,standalone,14000,config_143/vfpga_c143_0.bin,12.139648438,0.999994657,1,True,0.000005343,0.000005343
140,it3_S069,ro_14750,1,standalone,14750,config_144/vfpga_c144_0.bin,7.332031250,0.999346184,1,True,0.000654029,0.000654029
141,it3_S070,ro_15500,1,standalone,15500,config_145/vfpga_c145_0.bin,18.679687500,0.999999992,1,True,0.000000100,0.000000100
142,it3_S071,ro_16250,1,standalone,16250,config_146/vfpga_c146_0.bin,2.483398438,0.922969763,1,True,0.080158805,0.080158805
143,it3_S072,ro_17000,1,standalone,17000,config_147/vfpga_c147_0.bin,6.969726562,0.999060973,1,True,0.000939468,0.000939468
144,it3_S073,ro_17500,1,standalone,17500,config_148/vfpga_c148_0.bin,9.010742188,0.999877924,1,True,0.000122084,0.000122084
145,it3_S074,ro_18000,1,standalone,18000,config_149/vfpga_c149_0.bin,1.865234375,0.865905891,1,True,0.143979047,0.143979047
