sample_id,class_label,class_name,source_type,app_id,app_name,variant_id,floorplan_id,ro_count,target_ro_lut_count,target_ro_lut_pct,target_device,target_device_luts,batch_id,config_local,config_global,shell_id,tool_version,bitstream_path,timing_status,wns,lut_count,ff_count,bram_count,dsp_count,validation_status,file_hash,notes
S015,1,standalone,standalone,RO_39120,ro_39120,big_hammer_ro,FP08,39120,117360,9.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,2,15,c4985680,Vivado v.2024.2,config_015/vfpga_c015_0.bin,FAIL,-0.205,126256,15381,34.5,0,FAIL,583baf56a1c9c2387832a4955c903d9b2ad41d2597fc313557c80c7c985e337e,target_pct_nominal=9.0
S016,1,standalone,standalone,RO_45640,ro_45640,big_hammer_ro,FP08,45640,136920,10.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,3,16,c4985680,Vivado v.2024.2,config_016/vfpga_c016_0.bin,PASS,0.005,145816,15381,34.5,0,PASS,9eb3c684bb12dc9ac74660c3c9a452f2d4b326f99aa738a516d0c3f733f78755,target_pct_nominal=10.5
S017,1,standalone,standalone,RO_52160,ro_52160,big_hammer_ro,FP08,52160,156480,12.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,4,17,c4985680,Vivado v.2024.2,config_017/vfpga_c017_0.bin,FAIL,-0.733,165376,15381,34.5,0,FAIL,db24c22ede79e021cfbf438da9ac70871c6e8a3fa377a56a30492f845be80a4b,target_pct_nominal=12.0
S018,1,standalone,standalone,RO_58680,ro_58680,big_hammer_ro,FP08,58680,176040,13.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,5,18,c4985680,Vivado v.2024.2,config_018/vfpga_c018_0.bin,FAIL,-0.472,184936,15381,34.5,0,FAIL,c59f2b38c9cfad3fc901e1dbcd5db902e4c898d7b428f0775baa5fb6a54ef640,target_pct_nominal=13.5
S019,1,standalone,standalone,RO_65200,ro_65200,big_hammer_ro,FP08,65200,195600,15.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,6,19,c4985680,Vivado v.2024.2,config_019/vfpga_c019_0.bin,FAIL,-0.527,204496,15381,34.5,0,FAIL,25c505ce8f0a268b236394d17a50dbd947aac4baa3fd693ed027ef188b279caa,target_pct_nominal=15.0
S020,1,standalone,standalone,RO_71720,ro_71720,big_hammer_ro,FP08,71720,215160,16.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,7,20,c4985680,Vivado v.2024.2,config_020/vfpga_c020_0.bin,FAIL,-0.334,224056,15381,34.5,0,FAIL,8a06735325c9c9b012ceb59a980b968cc78886bea0cb8e9f7eb0c8fdc3efeb63,target_pct_nominal=16.5
S021,1,standalone,standalone,RO_78240,ro_78240,big_hammer_ro,FP08,78240,234720,18.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,8,21,c4985680,Vivado v.2024.2,config_021/vfpga_c021_0.bin,FAIL,-0.415,243616,15381,34.5,0,FAIL,65cab8af1db42add9e25de83fcc0ec73fc9ab0b37b076764ac2eb5b110f256d2,target_pct_nominal=18.0
S022,1,standalone,standalone,RO_84760,ro_84760,big_hammer_ro,FP08,84760,254280,19.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,9,22,c4985680,Vivado v.2024.2,config_022/vfpga_c022_0.bin,FAIL,-0.318,263176,15381,34.5,0,FAIL,0606dcb6d795f86b8154f87013fb58735f0cc89d641d595b2b9d35059f53793f,target_pct_nominal=19.5
S023,1,standalone,standalone,RO_91280,ro_91280,big_hammer_ro,FP08,91280,273840,21.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,10,23,c4985680,Vivado v.2024.2,config_023/vfpga_c023_0.bin,FAIL,-1.313,282736,15381,34.5,0,FAIL,511a2f876099ad21cec37956845678d7b3a2780b2c2e2dd2f180ee4d14f9dadc,target_pct_nominal=21.0
S024,1,standalone,standalone,RO_97800,ro_97800,big_hammer_ro,FP08,97800,293400,22.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,11,24,c4985680,Vivado v.2024.2,config_024/vfpga_c024_0.bin,FAIL,-0.619,302296,15381,34.5,0,FAIL,77fb59163413510b91f1d4f2022b93dec5acefd9b175fefc449025a07165985d,target_pct_nominal=22.5
S025,1,standalone,standalone,RO_108666,ro_108666,big_hammer_ro,FP08,108666,325998,24.9998,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,12,25,c4985680,Vivado v.2024.2,config_025/vfpga_c025_0.bin,FAIL,-0.907,334894,15381,34.5,0,FAIL,96b22c95037bfc2310b9638185a79ec352bd6dc9ad9ac535c58ee4ea19fb0133,target_pct_nominal=25.0
S026,1,standalone,standalone,RO_26080,ro_26080,big_hammer_ro,FP09,26080,78240,6.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,0,26,c4985680,Vivado v.2024.2,config_026/vfpga_c026_0.bin,FAIL,-1.402,87136,15381,34.5,0,FAIL,33720ba17c46696754421773af54576e83f9b82abdb693f8af5910d50791852a,target_pct_nominal=6.0
S027,1,standalone,standalone,RO_32600,ro_32600,big_hammer_ro,FP09,32600,97800,7.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,1,27,c4985680,Vivado v.2024.2,config_027/vfpga_c027_0.bin,FAIL,-1.693,106696,15381,34.5,0,FAIL,e1bc75d1ad7ba8476440eac60347c6b91312feed45df1ec4fef907d0795c7e5a,target_pct_nominal=7.5
S028,1,standalone,standalone,RO_39120,ro_39120,big_hammer_ro,FP09,39120,117360,9.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,2,28,c4985680,Vivado v.2024.2,config_028/vfpga_c028_0.bin,FAIL,-2.291,126256,15381,34.5,0,FAIL,43abedc76a100f44f53a2a7daa458b6123747e7a3c58baef87631a4eb9d6c36f,target_pct_nominal=9.0
S029,1,standalone,standalone,RO_45640,ro_45640,big_hammer_ro,FP09,45640,136920,10.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,3,29,c4985680,Vivado v.2024.2,config_029/vfpga_c029_0.bin,FAIL,-2.661,145816,15381,34.5,0,FAIL,ce4be6c701ccd6823d938c80248327049cc2226485c59f5fc1a9635db7d6ff90,target_pct_nominal=10.5
S030,1,standalone,standalone,RO_52160,ro_52160,big_hammer_ro,FP09,52160,156480,12.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,4,30,c4985680,Vivado v.2024.2,config_030/vfpga_c030_0.bin,FAIL,-2.856,165376,15381,34.5,0,FAIL,0441bf74cf7ab16cd2088e787dcfae251aa184d45dbd4354585978b77658512a,target_pct_nominal=12.0
S031,1,standalone,standalone,RO_58680,ro_58680,big_hammer_ro,FP09,58680,176040,13.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,5,31,c4985680,Vivado v.2024.2,config_031/vfpga_c031_0.bin,FAIL,-2.577,184936,15381,34.5,0,FAIL,b85f305cf6616cc592a8dee2cf83b29e2034fd36018fc346a6bd1920d5da55e6,target_pct_nominal=13.5
S032,1,standalone,standalone,RO_65200,ro_65200,big_hammer_ro,FP09,65200,195600,15.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,6,32,c4985680,Vivado v.2024.2,config_032/vfpga_c032_0.bin,FAIL,-2.358,204496,15381,34.5,0,FAIL,ad9a375dd4b39a4c55d864fdd9c56a19a79aa787364f8a636dacf1a08fec3829,target_pct_nominal=15.0
S033,1,standalone,standalone,RO_71720,ro_71720,big_hammer_ro,FP09,71720,215160,16.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,7,33,c4985680,Vivado v.2024.2,config_033/vfpga_c033_0.bin,FAIL,-2.982,224056,15381,34.5,0,FAIL,caea956361c3650202524f58923669341c5c5464e25479d927810b88d203a607,target_pct_nominal=16.5
S034,1,standalone,standalone,RO_78240,ro_78240,big_hammer_ro,FP09,78240,234720,18.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,8,34,c4985680,Vivado v.2024.2,config_034/vfpga_c034_0.bin,FAIL,-3.386,243616,15381,34.5,0,FAIL,f83a0b2c504b55d8e18c21dcf769fc3d383f4673d2571cab449a92f30625c194,target_pct_nominal=18.0
S035,1,standalone,standalone,RO_84760,ro_84760,big_hammer_ro,FP09,84760,254280,19.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,9,35,c4985680,Vivado v.2024.2,config_035/vfpga_c035_0.bin,FAIL,-3.693,263176,15381,34.5,0,FAIL,c7533285d3332cc81de9ce3c08f884adcb44c1f03fff620ca19d7ea9710b5587,target_pct_nominal=19.5
S036,1,standalone,standalone,RO_91280,ro_91280,big_hammer_ro,FP09,91280,273840,21.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,10,36,c4985680,Vivado v.2024.2,config_036/vfpga_c036_0.bin,FAIL,-2.91,282736,15381,34.5,0,FAIL,e3f2198dc86a81ba626d9a00b99fec8290e0eaaca8a6c0ee1c3629de8c14c24c,target_pct_nominal=21.0
S037,1,standalone,standalone,RO_97800,ro_97800,big_hammer_ro,FP09,97800,293400,22.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,11,37,c4985680,Vivado v.2024.2,config_037/vfpga_c037_0.bin,FAIL,-4.006,302296,15381,34.5,0,FAIL,7169c895b169922b68614d4c2c2bc9be941c89dbd84a54121c2969295e6e65a9,target_pct_nominal=22.5
S038,1,standalone,standalone,RO_108666,ro_108666,big_hammer_ro,FP09,108666,325998,24.9998,xcu55c-fsvh2892-2L-e,1304000,STAND_FP09,12,38,c4985680,Vivado v.2024.2,config_038/vfpga_c038_0.bin,FAIL,-0.896,334894,15381,34.5,0,FAIL,4d88d96f394e08989e6232a7ead8498c2ea96154ca37111bcc41fdd27e514378,target_pct_nominal=25.0
S039,1,standalone,standalone,RO_26080,ro_26080,big_hammer_ro,FP10,26080,78240,6.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,0,39,c4985680,Vivado v.2024.2,config_039/vfpga_c039_0.bin,PASS,0.036,87136,15381,34.5,0,PASS,fb05d429f5982cc0d35377433e0a8eb134ad4e012f093cad38e657d5c59ad33f,target_pct_nominal=6.0
S040,1,standalone,standalone,RO_32600,ro_32600,big_hammer_ro,FP10,32600,97800,7.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,1,40,c4985680,Vivado v.2024.2,config_040/vfpga_c040_0.bin,PASS,0.033,106696,15381,34.5,0,PASS,b041515f744fc1ce6932c65baaf44cfeda3bf26da34ac947dc2ae4fd2603d345,target_pct_nominal=7.5
S041,1,standalone,standalone,RO_39120,ro_39120,big_hammer_ro,FP10,39120,117360,9.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,2,41,c4985680,Vivado v.2024.2,config_041/vfpga_c041_0.bin,PASS,0.044,126256,15381,34.5,0,PASS,b0f92d34319275154336118be6e141b132033ab7e65aa4ea59986a4c83b94850,target_pct_nominal=9.0
S042,1,standalone,standalone,RO_45640,ro_45640,big_hammer_ro,FP10,45640,136920,10.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,3,42,c4985680,Vivado v.2024.2,config_042/vfpga_c042_0.bin,FAIL,-0.242,145816,15381,34.5,0,FAIL,b675f340437e0be3a001ab9a9a777799148d8476a4747283f2546865ab3da16b,target_pct_nominal=10.5
S043,1,standalone,standalone,RO_52160,ro_52160,big_hammer_ro,FP10,52160,156480,12.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,4,43,c4985680,Vivado v.2024.2,config_043/vfpga_c043_0.bin,PASS,0.044,165376,15381,34.5,0,PASS,f3c8da167d7134ea92e258a51120a0cee0104d604d6b86744936901d4b3dad19,target_pct_nominal=12.0
S044,1,standalone,standalone,RO_58680,ro_58680,big_hammer_ro,FP10,58680,176040,13.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,5,44,c4985680,Vivado v.2024.2,config_044/vfpga_c044_0.bin,FAIL,-0.196,184936,15381,34.5,0,FAIL,a60d06637dcc2b71cd292099d9d3e4bdf1aeefbbf6db4640417f8d5f61466452,target_pct_nominal=13.5
S045,1,standalone,standalone,RO_65200,ro_65200,big_hammer_ro,FP10,65200,195600,15.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,6,45,c4985680,Vivado v.2024.2,config_045/vfpga_c045_0.bin,FAIL,-0.294,204496,15381,34.5,0,FAIL,399e9079a1bdecf4d8dadc00a432ff6949bbae607962acc76e756e0821ce386e,target_pct_nominal=15.0
S046,1,standalone,standalone,RO_71720,ro_71720,big_hammer_ro,FP10,71720,215160,16.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,7,46,c4985680,Vivado v.2024.2,config_046/vfpga_c046_0.bin,PASS,0.028,224056,15381,34.5,0,PASS,5674fbf98c2e129ec2cc79013b47b3bf75b7895a0d1d911d70d21a7d5faf9d07,target_pct_nominal=16.5
S047,1,standalone,standalone,RO_78240,ro_78240,big_hammer_ro,FP10,78240,234720,18.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,8,47,c4985680,Vivado v.2024.2,config_047/vfpga_c047_0.bin,PASS,0.038,243616,15381,34.5,0,PASS,71d92721d9071ca6a0a9c44ee5f43f1c1b3305489acf1500ce8dc4957cfa9116,target_pct_nominal=18.0
S048,1,standalone,standalone,RO_84760,ro_84760,big_hammer_ro,FP10,84760,254280,19.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,9,48,c4985680,Vivado v.2024.2,config_048/vfpga_c048_0.bin,FAIL,-0.27,263176,15381,34.5,0,FAIL,8e2509cc801b0a376b951aca56a82563dff992809dae4185f2e784fbc7a7576f,target_pct_nominal=19.5
S049,1,standalone,standalone,RO_91280,ro_91280,big_hammer_ro,FP10,91280,273840,21.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,10,49,c4985680,Vivado v.2024.2,config_049/vfpga_c049_0.bin,FAIL,-0.242,282736,15381,34.5,0,FAIL,ade928d3667a9feac8e840486ef2b7d834ec7c5af693de8baa72ea11779058d6,target_pct_nominal=21.0
S050,1,standalone,standalone,RO_97800,ro_97800,big_hammer_ro,FP10,97800,293400,22.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,11,50,c4985680,Vivado v.2024.2,config_050/vfpga_c050_0.bin,FAIL,-0.23,302296,15381,34.5,0,FAIL,6a2fcc47677532bb6f8c10720bacf8cbeeb99ae3225a0ecd8235286f0f890131,target_pct_nominal=22.5
S051,1,standalone,standalone,RO_108666,ro_108666,big_hammer_ro,FP10,108666,325998,24.9998,xcu55c-fsvh2892-2L-e,1304000,STAND_FP10,12,51,c4985680,Vivado v.2024.2,config_051/vfpga_c051_0.bin,FAIL,-0.002,334894,15381,34.5,0,FAIL,7e768e0aca81c89384f3318c0ff982a2a773e3ae56aee8a92b1be80c475c1d28,target_pct_nominal=25.0
S052,1,standalone,standalone,RO_26080,ro_26080,big_hammer_ro,FP04,26080,78240,6.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,0,52,c4985680,Vivado v.2024.2,config_052/vfpga_c052_0.bin,PASS,0.025,87136,15381,34.5,0,PASS,2682142a3495d1c2fb6381a2fb0ff108650a0e3d5fa4dddf06a9a641277073ef,target_pct_nominal=6.0;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S053,1,standalone,standalone,RO_32600,ro_32600,big_hammer_ro,FP04,32600,97800,7.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,1,53,c4985680,Vivado v.2024.2,config_053/vfpga_c053_0.bin,FAIL,-0.322,106696,15381,34.5,0,FAIL,fd83e0eac237e1e624b63a688e8ca49ad4220d39346eb39e5f7b6389c7e5b62a,target_pct_nominal=7.5;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S054,1,standalone,standalone,RO_39120,ro_39120,big_hammer_ro,FP04,39120,117360,9.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,2,54,c4985680,Vivado v.2024.2,config_054/vfpga_c054_0.bin,FAIL,-0.106,126256,15381,34.5,0,FAIL,d97c91706ca713e8680238a83aae2d7116b1dd2085b4bec30e17362c8a1d7e22,target_pct_nominal=9.0;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S055,1,standalone,standalone,RO_45640,ro_45640,big_hammer_ro,FP04,45640,136920,10.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,3,55,c4985680,Vivado v.2024.2,config_055/vfpga_c055_0.bin,FAIL,-0.39,145816,15381,34.5,0,FAIL,2a56972db3b127142a83055199707a5a3a8c800c73785aa469c903eeb6842821,target_pct_nominal=10.5;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S056,1,standalone,standalone,RO_52160,ro_52160,big_hammer_ro,FP04,52160,156480,12.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,4,56,c4985680,Vivado v.2024.2,config_056/vfpga_c056_0.bin,FAIL,-0.23,165376,15381,34.5,0,FAIL,846b690dd59b8c9cc077a2bb4d1c1249f4156f51d758000cabc6261b5f8132d6,target_pct_nominal=12.0;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S057,1,standalone,standalone,RO_58680,ro_58680,big_hammer_ro,FP04,58680,176040,13.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,5,57,c4985680,Vivado v.2024.2,config_057/vfpga_c057_0.bin,FAIL,-0.238,184936,15381,34.5,0,FAIL,9521e180f91935c5b4dceafd5b893c45a0cdcb7b8bcfa418d4ac21875fadc957,target_pct_nominal=13.5;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S058,1,standalone,standalone,RO_65200,ro_65200,big_hammer_ro,FP04,65200,195600,15.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,6,58,c4985680,Vivado v.2024.2,config_058/vfpga_c058_0.bin,FAIL,-0.288,204496,15381,34.5,0,FAIL,18b35dfdd8f097a69bd8a3da3801433fca14157f995491d9a533664525f13019,target_pct_nominal=15.0;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S059,1,standalone,standalone,RO_71720,ro_71720,big_hammer_ro,FP04,71720,215160,16.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,7,59,c4985680,Vivado v.2024.2,config_059/vfpga_c059_0.bin,FAIL,-0.314,224056,15381,34.5,0,FAIL,498fe1ae5b035b33d69f408eb7a35d4dc1c84afe708f3ae7245e84b29ca9c770,target_pct_nominal=16.5;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S060,1,standalone,standalone,RO_78240,ro_78240,big_hammer_ro,FP04,78240,234720,18.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,8,60,c4985680,Vivado v.2024.2,config_060/vfpga_c060_0.bin,FAIL,-0.197,243616,15381,34.5,0,FAIL,3b636e82081f55768847b2b8acdc8b939e84a97b644fbca9e11c1147239934e6,target_pct_nominal=18.0;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S061,1,standalone,standalone,RO_84760,ro_84760,big_hammer_ro,FP04,84760,254280,19.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,9,61,c4985680,Vivado v.2024.2,config_061/vfpga_c061_0.bin,FAIL,-0.221,263176,15381,34.5,0,FAIL,b85ac45ddfc3ad941c7145ae61b052ee101cb7150c9ccd9a683a0252ba35b891,target_pct_nominal=19.5;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S062,1,standalone,standalone,RO_91280,ro_91280,big_hammer_ro,FP04,91280,273840,21.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,10,62,c4985680,Vivado v.2024.2,config_062/vfpga_c062_0.bin,FAIL,-0.138,282736,15381,34.5,0,FAIL,6ac487a6e14140860896582e6faa2146ee3bd5696b938b7d736a7f7fc819822b,target_pct_nominal=21.0;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S063,1,standalone,standalone,RO_97800,ro_97800,big_hammer_ro,FP04,97800,293400,22.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,11,63,c4985680,Vivado v.2024.2,config_063/vfpga_c063_0.bin,FAIL,-0.197,302296,15381,34.5,0,FAIL,09220c9f7eee0d1456b2bdce4261b570343d3816f3bdd4d4d831c9ce7b0083a8,target_pct_nominal=22.5;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
S064,1,standalone,standalone,RO_108666,ro_108666,big_hammer_ro,FP04,108666,325998,24.9998,xcu55c-fsvh2892-2L-e,1304000,STAND_FP04,12,64,c4985680,Vivado v.2024.2,config_064/vfpga_c064_0.bin,FAIL,-0.197,334894,15381,34.5,0,FAIL,3443d7762c16d0ebe7febc8ceed2f20f56ba68dd62f61d54ce8790cb95901654,target_pct_nominal=25.0;reassigned_from_batch=STAND_FP11;reassigned_from_floorplan=FP11;reassignment_reason=FP11_route_congestion_salvage
